Description,Supplier,URL,Entity,Expense Type,Transaction Number,Amount,Expense Area,Date,Departmental Family
"Venue Fee for the London Stage of the European Year of Volunteering 2011 Tour Event. Coin Street Neighbourhood Centre, 26 October  4 November",EXPOTEL,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,"Travel, Subsistence and Hospitality",3000020353,"26,538.28",OFFICE FOR CIVIL SOCIETY,03/2011/2011,Cabinet Office
Flex Service Charge,FUJITSU SERVICES,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Hire of Plant and Machines Memorandum Accounts,3000020420,"800,895.44",IT AND TELECOMS BRANCH,07/2011/2011,Cabinet Office
October payment for Implementation services to further develop the Directgov site and Managed Service to host and maintain the Directgov site.,STERIA LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,IT Costs,3000020426,"734,604.65",GOVERNMENT DIGITAL SERVICE,07/2011/2011,Cabinet Office
National Citizen Service project grant,CHANGEMAKERS,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000020413,"72,830.00",OFFICE FOR CIVIL SOCIETY,07/2011/2011,Cabinet Office
Flex Service Charge,FUJITSU SERVICES,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Hire of Plant and Machines Memorandum Accounts,3000020457,"804,751.97",IT AND TELECOMS BRANCH,08/2011/2011,Cabinet Office
Refurbishment of 70 Whitehall,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Assets Under Construction,3000020455,"146,284.80",ESTATE MANAGEMENT,08/2011/2011,Cabinet Office
Strategic partners transition grant ,SCHOOL FOR SOCIAL ENTREPRENEURS,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000020477,"105,000.00",OFFICE FOR CIVIL SOCIETY,08/2011/2011,Cabinet Office
National Citizen Service project grant,ENVISION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000020456,"93,888.00",OFFICE FOR CIVIL SOCIETY,08/2011/2011,Cabinet Office
October payment for Web site monitoring and usage analysis,STERIA LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,IT Costs,3000020480,"75,640.00",GOVERNMENT DIGITAL SERVICE,08/2011/2011,Cabinet Office
Quarter 1 and 2 payment to Law Commission for review to overhaul and consolidate electoral law,LAW COMMISSION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Supplies and Services,3000020467,"62,500.00",POLITICAL AND CONSTITUTIONAL REFORM,08/2011/2011,Cabinet Office
Commercial leadership resources in support of the Public Sector Network (PSN) programme,CAPITA RESOURCING LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Agency and Temporary Staff,3000020448,"47,906.46",GOVERNMENT CIO,08/2011/2011,Cabinet Office
"Media advertising, publication, typesetting and editing, in relation to the Boundary Commission for England: The 2013 Review",COI CENTRAL OFFICE OF INFORMATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Supplies and Services,3000020452,"26,266.96",POLITICAL AND CONSTITUTIONAL REFORM,08/2011/2011,Cabinet Office
Facilities Management Services,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Accommodation and Utilities,3000020455,"25,909.45",PRIME MINISTERS OFFICE,08/2011/2011,Cabinet Office
Security costs for government secure intranet,CESG,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Government Procurement Service,GSI COS,PINDOH 33570,"46,833.00",Network Services,08/2011/2011,Cabinet Office
Private Finance Initiative payment for student & office accommodation,De Vere Venues Ltd,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,National School of Government,De Vere PFI contract fee,64DEVE009102719542603/2011/2011," 123,084.35 ",Corporate Services & Operation,08/2011/2011,National School of Government
Telecoms line rentals,BT,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Accommodation and Utilities,3000020497,"62,350.72",PRIME MINISTERS OFFICE,09/2011/2011,Cabinet Office
"Support for the Public Services Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",ADVALUS LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Agency and Temporary Staff,3000020522,"76,500.00",GOVERNMENT CIO,10/2011/2011,Cabinet Office
High Integrity Telecoms System project costs,MINISTRY OF DEFENCE,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Accommodation and Utilities,3000020529,"66,348.61",INTELLIGENCE SECURITY AND RESILIENCE,10/2011/2011,Cabinet Office
Facilities Management Services,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Accommodation and Utilities,3000020528,"57,716.64",ESTATE MANAGEMENT,10/2011/2011,Cabinet Office
Audit fees for the production of the 2010-11 Annual Accounts for Capacitybuilders,NATIONAL AUDIT OFFICE,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Supplies and Services,3000020530,"29,000.00",OFFICE OF THE THIRD SECTOR NDPBS,10/2011/2011,Cabinet Office
Payment to Department of Health for Web Club Services,DEPARTMENT OF HEALTH,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Resource Grants to Central Government Bodies,3000020548,"173,728.80",GOVERNMENT DIGITAL SERVICE,11/2011/2011,Cabinet Office
Facilities Management Services,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Accommodation and Utilities,3000020549,"165,076.14",ESTATE MANAGEMENT,11/2011/2011,Cabinet Office
National Citizen Service project grant,FUTURE FOUNDATIONS,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000020551,"147,964.00",OFFICE FOR CIVIL SOCIETY,11/2011/2011,Cabinet Office
High Integrity Telecoms System project costs,MINISTRY OF DEFENCE,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Accommodation and Utilities,3000020554,"99,124.10",INTELLIGENCE SECURITY AND RESILIENCE,11/2011/2011,Cabinet Office
National Citizen Service project grant,SEFTON COUNCIL FOR VOLUNTARY SERVICE,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000020558,"58,285.00",OFFICE FOR CIVIL SOCIETY,11/2011/2011,Cabinet Office
Reprographic services,RICOH UK LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Supplies and Services,3000020556,"38,211.64",ESTATE MANAGEMENT,11/2011/2011,Cabinet Office
Microsoft enterprise agreement,Bytes Technology Group Ltd,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Government Procurement Service,IT Software <£5000,PINDOH 33682,"77,633.64",IT,11/2011/2011,Cabinet Office
Licences for procurement evaluation system,Bravosolution UK Ltd,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Government Procurement Service,Bravo License Costs,PINVP2P 303,"33,420.00",IT,11/2011/2011,Cabinet Office
Facilities Management Services,MITIE MANAGED SERVICES LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Accommodation and Utilities,3000020583,"48,911.10",ESTATE MANAGEMENT,14/2011/2011,Cabinet Office
2011/12 Fees and Disbursements.,TREASURY SOLICITOR TSOL,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Supplies and Services,3000020587,"28,108.10",CENTRAL BUDGETS,14/2011/2011,Cabinet Office
Research into youth participation,NATIONAL CENTRE FOR SOCIAL RESEARCH,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Research and Development,3000020633,"108,420.00",OFFICE FOR CIVIL SOCIETY,15/2011/2011,Cabinet Office
Quarterly rate charge on accommodation,COI CENTRAL OFFICE OF INFORMATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Accommodation and Utilities,3000020614,"48,387.00",GOVERNMENT DIGITAL SERVICE,15/2011/2011,Cabinet Office
An advance towards set up costs of the Big Society Bank,BSB 42 LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000020669,"870,144.00",OFFICE FOR CIVIL SOCIETY,17/2011/2011,Cabinet Office
Reprographic services,RICOH UK LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Supplies and Services,3000020684,"40,676.84",ESTATE MANAGEMENT,17/2011/2011,Cabinet Office
BT Telephone Line rental,BT,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Accommodation and Utilities,3000020670,"30,351.28",INTELLIGENCE SECURITY AND RESILIENCE,17/2011/2011,Cabinet Office
Security costs for government secure intranet,CESG,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Government Procurement Service,GSI COS,PINDOH 33689,"46,833.00",Network Services,17/2011/2011,Cabinet Office
Professional Services,PWC,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Consultancy,3000020715,"813,574.88",CIVIL SERVICE PENSIONS,18/2011/2011,Cabinet Office
Fujitsu: Change Projects,FUJITSU SERVICES,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,IT Costs,3000020705,"74,347.04",IT AND TELECOMS BRANCH,18/2011/2011,Cabinet Office
National Citizen Service project grant,PETROC,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000020714,"33,998.00",OFFICE FOR CIVIL SOCIETY,18/2011/2011,Cabinet Office
National Citizen Service project grant,FYLDE COAST YMCA,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000020706,"29,956.00",OFFICE FOR CIVIL SOCIETY,18/2011/2011,Cabinet Office
Strategic partners project grant ,VOICE4CHANGE ENGLAND LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000020721,"26,667.00",OFFICE FOR CIVIL SOCIETY,18/2011/2011,Cabinet Office
Monitoring services provided by the BBC,BBC MONITORING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Supplies and Services,3000020778,"1,808,333.33",INTELLIGENCE SECURITY AND RESILIENCE,22/2011/2011,Cabinet Office
National Citizen Service project grant ,THE FOOTBALL LEAGUE COMMUNITY LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000020801,"401,501.00",OFFICE FOR CIVIL SOCIETY,22/2011/2011,Cabinet Office
Civil Service Staff Survey,ORC INTERNATIONAL LIMITED,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Consultancy,3000020795,"315,418.00",ERG STRATEGY AND MANAGEMENT INFORMATION,22/2011/2011,Cabinet Office
"TSOL Capitation Costs, Fees and Disbursements",TREASURY SOLICITOR TSOL,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Supplies and Services,3000020804,"207,852.39",CENTRAL BUDGETS,22/2011/2011,Cabinet Office
National Citizen Service project grant,ACADEMY OF YOUTH LTD T/A UNIVERSITY OF FIRST AGE,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000020776,"28,640.00",OFFICE FOR CIVIL SOCIETY,22/2011/2011,Cabinet Office
Dispossessed Fund grant ,COMMUNITY FOUNDATION NETWORK,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000020819,"200,000.00",OFFICE FOR CIVIL SOCIETY,23/2011/2011,Cabinet Office
National Citizen Service project grant,V,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000020834,"41,000.00",OFFICE FOR CIVIL SOCIETY,23/2011/2011,Cabinet Office
Rent for accommodation,ST ANDREWS PARK NORWICH LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Accommodation and Utilities,3000020871,"240,675.00",ESTATE MANAGEMENT,24/2011/2011,Cabinet Office
Fast Stream Recruitment,PARITY SOLUTIONS LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Other Staff Related Costs,3000020860,"79,518.07",ERG STRATEGY AND MANAGEMENT INFORMATION,24/2011/2011,Cabinet Office
National Citizen Service project grant,GLOBAL ACTION PLAN,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000020849,"54,940.00",OFFICE FOR CIVIL SOCIETY,24/2011/2011,Cabinet Office
A £100m fund to support organisations to transition to a new funding environment,BIG LOTTERY FUND,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,GRANT FUND MANAGEMENT SERVICES,3000020939,"197,674.80",OFFICE FOR CIVIL SOCIETY,28/2011/2011,Cabinet Office
National Citizen Service project grant,PARTNERSHIP NETWORK LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000020947,"62,202.00",OFFICE FOR CIVIL SOCIETY,28/2011/2011,Cabinet Office
High Integrity Telecoms System project costs,MINISTRY OF DEFENCE,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Accommodation and Utilities,3000020946,"44,189.13",INTELLIGENCE SECURITY AND RESILIENCE,28/2011/2011,Cabinet Office
Project grant to deliver and evaluate a pilot of 20 Business Connectors in communities across England.,BUSINESS IN THE COMMUNITY,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000020940,"41,635.00",OFFICE FOR CIVIL SOCIETY,28/2011/2011,Cabinet Office
Assist in the development of a business case for the future back office shared services model for Central Government,MAXXIM CONSULTING LLP,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Consultancy,3000020967,"80,640.00",ERG STRATEGY AND MANAGEMENT INFORMATION,29/2011/2011,Cabinet Office
Telecoms line rentals,BT,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Accommodation and Utilities,3000020961,"49,226.19",PRIME MINISTERS OFFICE,29/2011/2011,Cabinet Office
November payment for Implementation services to further develop the Directgov site and Managed Service to host and maintain the Directgov site.,STERIA LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,IT Costs,3000020971,"41,317.75",GOVERNMENT DIGITAL SERVICE,29/2011/2011,Cabinet Office
